Timestamp,EAR,MAR,Yaw,Pitch,Tilt,PERCLOS,Blink_Rate,Status
12:13:11,0.356,0.002,6.6,-23.2,10.5,0.00,0,
12:13:11,0.364,0.001,6.4,-23.6,10.4,0.00,0,
12:13:11,0.350,0.003,6.6,-23.2,10.3,0.00,0,
12:13:11,0.358,0.004,6.6,-23.4,10.4,0.00,0,
12:13:11,0.359,0.003,6.6,-23.3,10.2,0.00,0,
12:13:11,0.375,0.003,6.8,-23.3,10.1,0.00,0,
12:13:11,0.374,0.002,6.5,-23.4,10.0,0.00,0,
12:13:11,0.362,0.003,6.9,-23.7,10.5,0.00,0,
12:13:11,0.375,0.002,6.6,-24.7,10.1,0.00,0,
12:13:11,0.371,0.002,6.6,-24.0,10.3,0.00,0,
12:13:12,0.374,0.003,6.3,-23.8,9.9,0.00,0,
12:13:12,0.375,0.004,6.2,-23.8,9.7,0.00,0,
12:13:12,0.365,0.003,6.3,-23.9,9.9,0.00,0,
12:13:12,0.365,0.003,6.6,-23.3,9.9,0.00,0,
12:13:12,0.359,0.003,6.3,-23.5,9.8,0.00,0,
12:13:12,0.375,0.003,6.5,-23.8,10.0,0.00,0,
12:13:12,0.365,0.002,6.4,-23.8,10.0,0.00,0,
12:13:12,0.358,0.003,6.1,-24.2,9.6,0.00,0,
12:13:12,0.361,0.001,6.3,-24.4,10.1,0.00,0,
12:13:12,0.346,0.003,6.1,-23.3,9.4,0.00,0,
12:13:12,0.364,0.004,6.0,-23.3,9.4,0.00,0,
12:13:12,0.356,0.004,6.2,-23.8,9.8,0.00,0,
12:13:12,0.355,0.004,5.8,-23.9,9.2,0.00,0,
12:13:12,0.359,0.005,6.3,-23.5,9.9,0.00,0,
12:13:12,0.355,0.003,6.1,-24.8,9.4,0.00,0,
12:13:12,0.363,0.005,6.4,-23.4,10.1,0.00,0,
12:13:12,0.347,0.005,6.0,-23.6,9.3,0.00,0,
12:13:12,0.363,0.005,6.3,-23.2,9.9,0.00,0,
12:13:12,0.376,0.007,6.4,-23.4,9.4,0.00,0,
12:13:12,0.376,0.006,6.5,-22.6,9.5,0.00,0,
12:13:12,0.381,0.008,6.2,-23.3,9.3,0.00,0,
12:13:12,0.359,0.012,6.6,-24.5,10.0,0.00,0,
12:13:12,0.383,0.010,6.2,-23.2,9.3,0.00,0,
12:13:12,0.373,0.010,6.3,-23.2,10.1,0.00,0,
12:13:12,0.362,0.015,6.1,-24.1,9.2,0.00,0,
12:13:12,0.362,0.010,6.2,-21.7,9.7,0.00,0,
12:13:12,0.359,0.008,6.4,-21.4,10.0,0.00,0,
12:13:12,0.359,0.007,6.2,-22.9,9.6,0.00,0,
